shipment_id,origin,destination,cargo_type,cargo_description,priority,status,carrier,eta,route,is_cold_chain,temperature_min,temperature_max,weight_kg,value_usd
SHP-101,Mumbai,Delhi,Electronics,Consumer electronics - laptops and tablets,High,In Transit,BlueDart Logistics,2026-09-17T14:00:00,Mumbai → Nashik → Indore → Delhi,false,,,2500,125000
SHP-102,Chennai,Mumbai,Pharmaceuticals,Temperature-sensitive vaccines,Critical,In Transit,DHL Express,2026-09-16T09:00:00,Chennai → Bangalore → Pune → Mumbai,true,2,8,800,450000
SHP-103,Delhi,Kolkata,Textiles,Cotton fabric rolls,Standard,In Transit,Gati Logistics,2026-09-18T16:00:00,Delhi → Lucknow → Varanasi → Kolkata,false,,,5000,35000
SHP-104,Hyderabad,Mumbai,Pharmaceuticals,Insulin shipment - refrigerated,Critical,In Transit,Safexpress,2026-09-16T11:00:00,Hyderabad → Pune → Mumbai,true,2,8,400,680000
SHP-105,Ahmedabad,Mumbai,Automotive Parts,Engine components,High,In Transit,Maersk Logistics,2026-09-17T08:00:00,Ahmedabad → Surat → Mumbai,false,,,3200,95000
SHP-106,Bangalore,Chennai,Food Products,Fresh dairy products,High,In Transit,DTDC Express,2026-09-15T18:00:00,Bangalore → Chennai,true,0,4,1200,28000
SHP-107,Kolkata,Delhi,Machinery,Industrial pumps,Standard,In Transit,Allcargo Logistics,2026-09-19T10:00:00,Kolkata → Varanasi → Lucknow → Delhi,false,,,8000,210000
SHP-108,Mumbai,Ahmedabad,Chemicals,Industrial solvents,High,In Transit,TCI Freight,2026-09-16T15:00:00,Mumbai → Surat → Ahmedabad,false,,,4500,67000
SHP-109,Pune,Mumbai,Electronics,Server equipment,Critical,In Transit,FedEx India,2026-09-15T20:00:00,Pune → Mumbai,false,,,1800,320000
SHP-110,Delhi,Mumbai,Consumer Goods,FMCG products,Standard,In Transit,Rivigo,2026-09-18T12:00:00,Delhi → Jaipur → Ahmedabad → Mumbai,false,,,6000,45000
SHP-111,Chennai,Delhi,Pharmaceuticals,Medical devices - controlled temperature,High,In Transit,BlueDart Logistics,2026-09-19T07:00:00,Chennai → Hyderabad → Nagpur → Delhi,true,15,25,950,520000
